Cool,Multiling,Umultiling,ComfNonEng,Media,Priv,StHeard,StDescr,Zed,Spell,SpellUni,Distinct,SameEW,Celebs,Prestige,RecCdns,Software,Dictionary,RecogEh,CdnSorry,EnglAble,FrAble,IndAble,BeyondEF,CdnWay,Age,LiveLand,LiveProv,Gender,EduComp,DegreeYear,Region,EUI,DistCult,EOI,SocMedia
Strongly agree,Definitely yes,No,,Extremely unimportant,Yes,Yes,"Yes, but I can't describe it well",both,Very unimportant,Definitely not,Definitely not,Probably not,No,Singaporean English,Rarely,Yes,Neither yes or no,Definitely yes,Definitely yes,Disagree,Disagree,Strongly agree,Neither disagree nor agree,Probably not,15-19,Canada,British Columbia,female,high school,Second year,BC,0,no,,4-6 hours
Strongly agree,Probably yes,No,,Important,No,Yes,"Yes, but I can't describe it well",zed,Important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Probably yes,Definitely yes,Disagree,Disagree,Agree,Agree,Probably yes,20-24,Canada,British Columbia,female,high school,Fourth year+,BC,0,yes (please specify):,12,1-2 hours
Strongly agree,Probably yes,No,,Extremely unimportant,That depends (please also explain if you can),No,,zee,Unimportant,Probably not,Definitely not,Probably yes,No,British English,Sometimes,Yes,No,Definitely yes,Definitely yes,Agree,Neither disagree nor agree,Agree,Disagree,Probably yes,15-19,United States,California,male,high school,I am not currently studying,BC,0,no,,4-6 hours
Strongly agree,Probably yes,Yes,Extremely comfortable,Unimportant,That depends (please also explain if you can),No,"Yes, I do know. It is... (please describe briefly):",zee,Important,Definitely not,Definitely yes,Definitely not,Yes (please specify who):,No particular variety,Often,No,Yes,Definitely yes,Definitely yes,Disagree,Strongly disagree,Strongly agree,Disagree,Definitely yes,20-24,Canada,British Columbia,non-binary,high school,Fourth year+,US,4,yes (please specify):,4,2-4 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,No,Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Probably not,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Probably yes,Probably yes,Disagree,Disagree,Strongly agree,Strongly agree,Probably yes,20-24,Canada,Quebec,non-binary,high school,Fourth year+,BC,0,no,,1-2 hours
Strongly agree,Probably yes,Yes,Moderately uncomfortable,Unimportant,That depends (please also explain if you can),Not sure,,zee,Unimportant,Probably not,Probably not,,No,British English,Rarely,Yes,Yes,Definitely yes,Definitely yes,Agree,Disagree,Agree,Agree,Probably yes,20-24,Canada,British Columbia,non-binary,high school,Fourth year+,Singapore,3,yes (please specify):,8,2-4 hours
Strongly agree,Probably not,No,,Important,That depends (please also explain if you can),No,,zed,Neither unimportant nor important,Definitely not,Definitely not,Probably yes,Yes (please specify who):,British English,Rarely,,No,Probably yes,Probably yes,Agree,Disagree,Strongly agree,Disagree,Probably yes,20-24,Canada,British Columbia,male,high school,Fourth year+,BC,0,yes (please specify):,4,2-4 hours
Agree,Probably yes,No,,Important,That depends (please also explain if you can),Not sure,,zee,Important,,,,,,,,,Definitely yes,Probably yes,Agree,Agree,Strongly agree,Agree,,15-19,Canada,Ontario,female,elementary school,I am not currently studying,ON,0,no,,2-4 hours
Agree,Definitely yes,Yes,Neither comfortable nor uncomfortable,,That depends (please also explain if you can),No,,zee,Important,Probably yes,Probably yes,,,British English,Sometimes,,Neither yes or no,Definitely yes,Probably yes,Disagree,Disagree,Agree,Strongly agree,Probably yes,15-19,Canada,British Columbia,female,elementary school,I am not currently studying,BC,0,no,,4-6 hours
Strongly agree,Definitely yes,No,,Important,That depends (please also explain if you can),No,,zed,Neither unimportant nor important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Definitely yes,Agree,Agree,Agree,Agree,Probably yes,50-54,Canada,British Columbia,male,high school,I am not currently studying,X,0,no,,30 minutes to 1 hour
Strongly agree,Definitely yes,No,,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Definitely yes,Probably not,Definitely not,Yes (please specify who):,British English,Often,Yes,Definitely yes,Definitely yes,Probably yes,Don't know,Disagree,Strongly agree,Disagree,Definitely yes,20-24,Canada,British Columbia,male,high school,Fourth year+,MB,0,yes (please specify):,3,30 minutes to 1 hour
Agree,Definitely yes,No,,Important,Yes,Yes,"Yes, but I can't describe it well",both,Important,Definitely yes,Probably yes,Probably not,Yes (please specify who):,British English,Often,Yes,Definitely yes,Definitely yes,Probably yes,Agree,Agree,Agree,Neither disagree nor agree,Definitely yes,20-24,Canada,British Columbia,male,undergraduate degree,Fourth year+,AB,0,no,,2-4 hours
Agree,Probably yes,Yes,Moderately comfortable,,That depends (please also explain if you can),No,,both,Unimportant,Probably not,Probably yes,,Yes (please specify who):,British English,Sometimes,Yes,Don't know,Definitely yes,Might or might not,Disagree,Disagree,Strongly agree,Neither disagree nor agree,Probably yes,20-24,Canada,Quebec,non-binary,high school,Fourth year+,ON,2,no,,4-6 hours
Agree,Probably yes,No,,Unimportant,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Probably yes,Probably yes,Probably not,,No particular variety,Often,Yes,Yes,Definitely yes,Probably yes,Disagree,Strongly disagree,Agree,Disagree,Probably yes,20-24,Canada,British Columbia,female,high school,Fourth year+,BC,0,no,,2-4 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Definitely yes,Definitely not,Yes (please specify who):,British English,Often,Yes,Definitely yes,Definitely yes,Definitely yes,Neither disagree nor agree,Disagree,Strongly agree,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,male,undergraduate degree,I am not currently studying,MB,0,no,,4-6 hours
Strongly agree,Definitely yes,Yes,Moderately comfortable,Important,No,Not sure,,zed,Important,Probably not,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Don't know,Yes,Definitely yes,Definitely yes,Might or might not,Strongly disagree,Strongly disagree,Strongly agree,Neither disagree nor agree,Probably not,20-24,Canada,British Columbia,female,high school,Fourth year+,ON,0,yes (please specify):,2,30 minutes to 1 hour
Strongly agree,Probably yes,Yes,Extremely comfortable,Important,Yes,Not sure,,both,Important,Probably not,Probably not,Definitely not,Yes (please specify who):,British English,Rarely,Yes,Yes,Probably yes,Probably yes,Neither disagree nor agree,Disagree,Agree,Don't know,Probably yes,20-24,Canada,British Columbia,female,high school,Third year,X,5,yes (please specify):,7,2-4 hours
Strongly agree,Neutral,No,,Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zee,Very important,Definitely yes,Definitely yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Definitely yes,Strongly disagree,Strongly disagree,Strongly agree,Neither disagree nor agree,Definitely yes,20-24,Canada,British Columbia,female,high school,Fourth year+,BC,0,no,,30 minutes to 1 hour
Strongly disagreee,Probably yes,Yes,Neither comfortable nor uncomfortable,Extremely unimportant,That depends (please also explain if you can),No,,both,Neither unimportant nor important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Definitely yes,Probably not,Probably yes,Agree,Neither disagree nor agree,,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,female,high school,Fourth year+,BC,2,yes (please specify):,3,2-4 hours
Strongly agree,Probably yes,Yes,Extremely comfortable,Extremely important,No,Yes,"Yes, but I can't describe it well",zee,Important,Definitely yes,Probably yes,,,British English,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,20-24,Canada,Quebec,female,undergraduate degree,First year,QC,5,no,,1-2 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,No,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Neither unimportant nor important,Might or might not,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Yes,Definitely yes,Probably yes,Disagree,Disagree,Agree,Agree,Probably not,45-49,Canada,British Columbia,male,high school,I am not currently studying,MB,3,yes (please specify):,4,30 minutes to 1 hour
Strongly agree,Neutral,Yes,Moderately comfortable,Important,No,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Important,Probably yes,Definitely yes,Definitely not,Yes (please specify who):,Singaporean English,Don't know,Yes,Yes,Definitely yes,Definitely yes,Disagree,Disagree,Strongly agree,Disagree,Definitely yes,35-39,Canada,British Columbia,male,post-graduate degree,"Fourth year+,I am in a graduate program",BC,0,no,,1-2 hours
Strongly agree,Probably yes,Yes,Neither comfortable nor uncomfortable,,That depends (please also explain if you can),Not sure,"Yes, but I can't describe it well",zee,Neither unimportant nor important,Probably not,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Sometimes,Yes,Yes,Probably yes,Definitely yes,Disagree,Disagree,Agree,Strongly agree,Probably yes,20-24,Canada,British Columbia,female,high school,Fourth year+,BC,4,yes (please specify):,3,2-4 hours
Strongly agree,Definitely yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,British English,Often,Yes,Yes,Definitely yes,Might or might not,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,60-64,Canada,British Columbia,female,post-graduate degree,I am not currently studying,MB,0,no,,30 minutes to 1 hour
Agree,Probably yes,No,,,Yes,No,,zed,Neither unimportant nor important,Might or might not,Probably yes,,Yes (please specify who):,No particular variety,Sometimes,Yes,Yes,Probably yes,Probably not,Disagree,Disagree,,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,female,undergraduate degree,Fourth year+,BC,0,no,,2-4 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,Yes,Yes,"Yes, but I can't describe it well",zee,Important,Might or might not,Probably yes,,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Might or might not,Disagree,Disagree,Agree,Neither disagree nor agree,Probably yes,20-24,Canada,Quebec,female,undergraduate degree,Third year,US,2,no,,30 minutes to 1 hour
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zee,Important,Probably yes,Probably yes,Definitely not,No,British English,Sometimes,,Neither yes or no,Probably yes,Probably yes,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Probably yes,20-24,Canada,Ontario,female,undergraduate degree,Fourth year+,BC,1,no,,1-2 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),No,,zed,Neither unimportant nor important,Might or might not,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Probably yes,Probably yes,Neither disagree nor agree,Disagree,Agree,Disagree,Probably yes,20-24,Canada,British Columbia,female,high school,Third year,BC,0,no,,30 minutes to 1 hour
Strongly agree,Probably yes,Yes,Extremely comfortable,Important,That depends (please also explain if you can),No,,both,Important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Strongly agree,Probably yes,15-19,Canada,British Columbia,female,other (please specify):,Second year,BC,4,yes (please specify):,10,4-6 hours
Strongly agree,Probably yes,No,,Important,,Not sure,,both,Important,Probably yes,Probably yes,Probably not,Yes (please specify who):,No particular variety,Sometimes,Yes,Yes,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,female,high school,I am not currently studying,BC,1,no,,2-4 hours
Strongly agree,Probably yes,No,,Extremely important,No,Not sure,"Yes, but I can't describe it well",both,Very unimportant,Might or might not,Definitely not,Definitely not,No,British English,Often,,Definitely not,Definitely yes,Definitely yes,Disagree,Strongly disagree,Strongly agree,Agree,Probably yes,20-24,Canada,British Columbia,female,high school,Third year,BC,0,no,,1-2 hours
Strongly agree,Definitely yes,Yes,Moderately comfortable,,Yes,No,"Yes, I do know. It is... (please describe briefly):",zee,Important,Definitely yes,Definitely yes,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Yes,Definitely yes,Definitely yes,Don't know,Strongly disagree,Strongly agree,Strongly agree,Definitely yes,20-24,Canada,Quebec,female,high school,Fourth year+,BC,4,yes (please specify):,7,2-4 hours
Strongly agree,Definitely yes,Yes,Moderately uncomfortable,Unimportant,That depends (please also explain if you can),Not sure,,zee,Unimportant,Probably not,Probably not,,Yes (please specify who):,British English,Always,Yes,No,Definitely yes,Probably not,Strongly disagree,Strongly disagree,Agree,Neither disagree nor agree,Definitely yes,20-24,United States,Illinois,female,undergraduate degree,I am not currently studying,US,2,no,,1-2 hours
Strongly agree,Probably yes,Yes,Moderately uncomfortable,Extremely important,No,No,,zed,Very important,Probably yes,Probably yes,Probably yes,Yes (please specify who):,Canadian English,Sometimes,Yes,No,Definitely yes,Probably yes,Strongly disagree,Strongly disagree,Strongly agree,Neither disagree nor agree,Probably yes,20-24,Canada,Quebec,female,high school,Fourth year+,ON,3,no,,1-2 hours
Strongly agree,Probably yes,Yes,Does not apply to me (I don't live in Canada),Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Definitely yes,,No,No particular variety,Often,Yes,Yes,,Might or might not,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Definitely yes,50-54,Sweden,,female,post-graduate degree,I am not currently studying,BC,6,yes (please specify):,12,30 minutes to 1 hour
Strongly agree,Probably yes,No,,Important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zee,Neither unimportant nor important,Probably yes,Definitely not,Definitely not,Yes (please specify who):,British English,Never,No,Yes,Definitely not,Probably yes,Agree,Strongly disagree,Strongly agree,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,female,high school,Fourth year+,AB,0,yes (please specify):,5,2-4 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,No,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Important,Probably yes,Definitely yes,Definitely not,Yes (please specify who):,Other (please name):,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Strongly agree,Agree,Strongly agree,Neither disagree nor agree,Definitely yes,30-34,Canada,British Columbia,male,other (please specify):,I am not currently studying,Taiwan,7,yes (please specify):,5,30 minutes to 1 hour
Agree,Probably not,Yes,Moderately comfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Important,Probably yes,Definitely yes,,,British English,Often,Yes,Definitely yes,Probably yes,Definitely yes,Disagree,Disagree,Agree,Strongly disagree,Probably yes,40-44,Canada,British Columbia,male,graduate degree,I am not currently studying,BC,0,no,,30 minutes to 1 hour
Strongly agree,Definitely yes,Yes,Moderately comfortable,Important,No,No,,zed,Very important,Probably yes,Definitely yes,,Yes (please specify who):,British English,Rarely,Yes,Neither yes or no,Definitely yes,Definitely yes,Agree,Disagree,Agree,Agree,Probably yes,15-19,Canada,British Columbia,male,high school,First year,BC,3,yes (please specify):,0,6-8 hours
