age,formative_years_in_CA,cdn_way_yes,n
14,FALSE,FALSE,1
14,TRUE,FALSE,3
14,TRUE,TRUE,4
19,FALSE,FALSE,3
19,FALSE,TRUE,15
19,TRUE,FALSE,24
19,TRUE,TRUE,102
24,FALSE,FALSE,3
24,FALSE,TRUE,33
24,TRUE,FALSE,63
24,TRUE,TRUE,330
29,FALSE,FALSE,1
29,FALSE,TRUE,18
29,TRUE,FALSE,35
29,TRUE,TRUE,259
34,FALSE,FALSE,5
34,FALSE,TRUE,22
34,TRUE,FALSE,39
34,TRUE,TRUE,325
39,FALSE,FALSE,2
39,FALSE,TRUE,24
39,TRUE,FALSE,34
39,TRUE,TRUE,259
44,FALSE,FALSE,4
44,FALSE,TRUE,17
44,TRUE,FALSE,22
44,TRUE,TRUE,251
49,FALSE,FALSE,2
49,FALSE,TRUE,19
49,TRUE,FALSE,20
49,TRUE,TRUE,162
54,FALSE,FALSE,2
54,FALSE,TRUE,23
54,TRUE,FALSE,11
54,TRUE,TRUE,129
59,FALSE,FALSE,1
59,FALSE,TRUE,14
59,TRUE,FALSE,19
59,TRUE,TRUE,111
64,FALSE,TRUE,16
64,TRUE,FALSE,5
64,TRUE,TRUE,88
69,FALSE,TRUE,13
69,TRUE,FALSE,12
69,TRUE,TRUE,76
74,FALSE,FALSE,1
74,FALSE,TRUE,12
74,TRUE,FALSE,1
74,TRUE,TRUE,23
79,FALSE,TRUE,4
79,TRUE,FALSE,1
79,TRUE,TRUE,17
84,FALSE,TRUE,2
84,TRUE,FALSE,1
84,TRUE,TRUE,8
89,TRUE,TRUE,1
