region,gender,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,edu_comp,degree_year,eui,dist_cult,eoi,soc_media,st_heard_num,spell_uni_num,distinct_num,cdn_way_num,spell_num,st_heard_scaled,spell_uni_scaled,distinct_scaled,cdn_way_scaled,spell_scaled,slai
BC,female,British Columbia,strongly agree,definitely yes,no,,extremely unimportant,yes,yes,yes but i cant describe it well,both,very unimportant,definitely not,definitely not,probably not,no,singaporean english,rarely,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,strongly agree,neither disagree nor agree,probably not,19,canada,high school,second year,0,no,,46 hours,5,1,1,2,1,5,1,1,2.33333333333333,1,1.33333333333333
BC,female,British Columbia,strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,agree,probably yes,24,canada,high school,fourth year+,0,yes ,12,12 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
BC,male,United States,strongly agree,probably yes,no,,extremely unimportant,that depends ,no,,zee,unimportant,probably not,definitely not,probably yes,no,british english,sometimes,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,agree,disagree,probably yes,19,united states,high school,i am not currently studying,0,no,,46 hours,1,2,1,3,2,1,2,1,3.66666666666667,2,2.16666666666667
US,other,British Columbia,strongly agree,probably yes,yes,extremely comfortable,unimportant,that depends ,no,yes i do know it is ,zee,important,definitely not,definitely yes,definitely not,yes ,no particular variety,often,no,yes,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,disagree,definitely yes,24,canada,high school,fourth year+,4,yes ,4,24 hours,1,1,4,4,4,1,1,5,5,4,3.75
BC,other,Quebec,strongly agree,probably yes,yes,moderately comfortable,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,disagree,disagree,strongly agree,strongly agree,probably yes,24,canada,high school,fourth year+,0,no,,12 hours,5,2,3,3,3,5,2,3.66666666666667,3.66666666666667,3,3.08333333333333
BC,male,British Columbia,strongly agree,probably not,no,,important,that depends ,no,,zed,neither unimportant nor important,definitely not,definitely not,probably yes,yes ,british english,rarely,,no,probably yes,probably yes,agree,disagree,strongly agree,disagree,probably yes,24,canada,high school,fourth year+,0,yes ,4,24 hours,1,1,1,3,3,1,1,1,3.66666666666667,3,2.16666666666667
ON,female,Ontario,agree,probably yes,no,,important,that depends ,not sure,,zee,important,,,,,,,,,definitely yes,probably yes,agree,agree,strongly agree,agree,,19,canada,elementary school,i am not currently studying,0,no,,24 hours,3,,,,4,3,,,,4,4
BC,female,British Columbia,agree,definitely yes,yes,neither comfortable nor uncomfortable,,that depends ,no,,zee,important,probably yes,probably yes,,,british english,sometimes,,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,19,canada,elementary school,i am not currently studying,0,no,,46 hours,1,4,3,3,4,1,4,3.66666666666667,3.66666666666667,4,3.83333333333333
MB,male,British Columbia,strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably not,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,,disagree,strongly agree,disagree,definitely yes,24,canada,high school,fourth year+,0,yes ,3,30 minutes to 1 hour,5,5,2,4,3,5,5,2.33333333333333,5,3,3.83333333333333
AB,male,British Columbia,agree,definitely yes,no,,important,yes,yes,yes but i cant describe it well,both,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,24,canada,undergraduate degree,fourth year+,0,no,,24 hours,5,5,3,4,4,5,5,3.66666666666667,5,4,4.41666666666667
ON,other,Quebec,agree,probably yes,yes,moderately comfortable,,that depends ,no,,both,unimportant,probably not,probably yes,,yes ,british english,sometimes,yes,,definitely yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,2,no,,46 hours,1,2,3,3,2,1,2,3.66666666666667,3.66666666666667,2,2.83333333333333
BC,female,British Columbia,agree,probably yes,no,,unimportant,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,probably not,,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,strongly disagree,agree,disagree,probably yes,24,canada,high school,fourth year+,0,no,,24 hours,5,4,3,3,3,5,4,3.66666666666667,3.66666666666667,3,3.58333333333333
MB,male,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,undergraduate degree,i am not currently studying,0,no,,46 hours,5,5,4,3,5,5,5,5,3.66666666666667,5,4.66666666666667
ON,female,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,important,no,not sure,,zed,important,probably not,probably yes,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,might or might not,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably not,24,canada,high school,fourth year+,0,yes ,2,30 minutes to 1 hour,3,2,3,2,4,3,2,3.66666666666667,2.33333333333333,4,3
BC,female,British Columbia,strongly agree,neutral,no,,extremely important,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,high school,fourth year+,0,no,,30 minutes to 1 hour,5,5,4,4,5,5,5,5,5,5,5
BC,female,British Columbia,strongly disagreee,probably yes,yes,neither comfortable nor uncomfortable,extremely unimportant,that depends ,no,,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,probably not,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,2,yes ,3,24 hours,1,4,3,3,3,1,4,3.66666666666667,3.66666666666667,3,3.58333333333333
QC,female,Quebec,strongly agree,probably yes,yes,extremely comfortable,extremely important,no,yes,yes but i cant describe it well,zee,important,definitely yes,probably yes,,,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,undergraduate degree,first year,5,no,,12 hours,5,5,3,3,4,5,5,3.66666666666667,3.66666666666667,4,4.08333333333333
