cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,cdn_way_num
strongly agree,definitely yes,no,,extremely unimportant,yes,yes,yes but i cant describe it well,both,very unimportant,definitely not,definitely not,probably not,no,singaporean english,rarely,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,strongly agree,neither disagree nor agree,probably not,19,canada,british columbia,female,high school,second year,bc,0,no,,46 hours,2
strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,yes ,12,12 hours,3
strongly agree,probably yes,no,,extremely unimportant,that depends ,no,,zee,unimportant,probably not,definitely not,probably yes,no,british english,sometimes,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,agree,disagree,probably yes,19,united states,california,male,high school,i am not currently studying,bc,0,no,,46 hours,3
strongly agree,probably yes,yes,moderately comfortable,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,disagree,disagree,strongly agree,strongly agree,probably yes,24,canada,quebec,other,high school,fourth year+,bc,0,no,,12 hours,3
strongly agree,probably not,no,,important,that depends ,no,,zed,neither unimportant nor important,definitely not,definitely not,probably yes,yes ,british english,rarely,,no,probably yes,probably yes,agree,disagree,strongly agree,disagree,probably yes,24,canada,british columbia,male,high school,fourth year+,bc,0,yes ,4,24 hours,3
agree,definitely yes,yes,neither comfortable nor uncomfortable,,that depends ,no,,zee,important,probably yes,probably yes,,,british english,sometimes,,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,19,canada,british columbia,female,elementary school,i am not currently studying,bc,0,no,,46 hours,3
strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably not,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,,disagree,strongly agree,disagree,definitely yes,24,canada,british columbia,male,high school,fourth year+,mb,0,yes ,3,30 minutes to 1 hour,4
agree,definitely yes,no,,important,yes,yes,yes but i cant describe it well,both,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,24,canada,british columbia,male,undergraduate degree,fourth year+,ab,0,no,,24 hours,4
agree,probably yes,yes,moderately comfortable,,that depends ,no,,both,unimportant,probably not,probably yes,,yes ,british english,sometimes,yes,,definitely yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,quebec,other,high school,fourth year+,on,2,no,,46 hours,3
agree,probably yes,no,,unimportant,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,probably not,,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,strongly disagree,agree,disagree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,no,,24 hours,3
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,male,undergraduate degree,i am not currently studying,mb,0,no,,46 hours,3
strongly agree,definitely yes,yes,moderately comfortable,important,no,not sure,,zed,important,probably not,probably yes,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,might or might not,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably not,24,canada,british columbia,female,high school,fourth year+,on,0,yes ,2,30 minutes to 1 hour,2
